category,system,n,precision_at_1,temporal_precision_at_1,keyword_hit_rate
amendment_awareness,BM25,3,0.3333333333333333,0.0,0.6388888888888888
amendment_awareness,LLMOnly,3,0.0,0.0,0.8888888888888888
amendment_awareness,NaiveRAG,3,0.3333333333333333,0.0,0.6388888888888888
amendment_awareness,PV-RAG,3,0.3333333333333333,0.0,0.6388888888888888
amendment_awareness,PV-RAG-NoGraph,3,0.3333333333333333,0.0,0.6388888888888888
amendment_awareness,TemporalOnly,3,0.3333333333333333,0.0,0.6388888888888888
comparison,BM25,2,1.0,0.0,1.0
comparison,LLMOnly,2,0.0,0.0,1.0
comparison,NaiveRAG,2,1.0,0.0,1.0
comparison,PV-RAG,2,1.0,0.0,1.0
comparison,PV-RAG-NoGraph,2,1.0,0.0,1.0
comparison,TemporalOnly,2,1.0,0.0,1.0
cross_era,BM25,3,0.0,0.0,0.5555555555555555
cross_era,LLMOnly,3,0.0,0.0,0.7777777777777777
cross_era,NaiveRAG,3,0.0,0.3333333333333333,0.5555555555555555
cross_era,PV-RAG,3,0.0,0.3333333333333333,0.5555555555555555
cross_era,PV-RAG-NoGraph,3,0.0,0.3333333333333333,0.5555555555555555
cross_era,TemporalOnly,3,0.0,0.6666666666666666,0.5555555555555555
date_range,BM25,2,0.5,0.0,0.8333333333333333
date_range,LLMOnly,2,0.0,0.0,1.0
date_range,NaiveRAG,2,1.0,0.0,0.8333333333333333
date_range,PV-RAG,2,1.0,0.0,0.8333333333333333
date_range,PV-RAG-NoGraph,2,1.0,0.0,0.8333333333333333
date_range,TemporalOnly,2,1.0,0.0,0.8333333333333333
general_knowledge,BM25,4,0.25,0.0,0.5208333333333333
general_knowledge,LLMOnly,4,0.0,0.0,0.9375
general_knowledge,NaiveRAG,4,0.25,0.0,0.6458333333333333
general_knowledge,PV-RAG,4,0.25,0.0,0.6666666666666666
general_knowledge,PV-RAG-NoGraph,4,0.25,0.0,0.6041666666666666
general_knowledge,TemporalOnly,4,0.25,0.0,0.5833333333333333
temporal_edge_case,BM25,2,0.0,0.0,1.0
temporal_edge_case,LLMOnly,2,0.0,0.0,1.0
temporal_edge_case,NaiveRAG,2,0.5,0.0,1.0
temporal_edge_case,PV-RAG,2,0.5,0.5,1.0
temporal_edge_case,PV-RAG-NoGraph,2,0.5,0.5,1.0
temporal_edge_case,TemporalOnly,2,0.0,1.0,0.8333333333333333
temporal_precision,BM25,7,0.2857142857142857,0.14285714285714285,0.7619047619047619
temporal_precision,LLMOnly,7,0.0,0.0,0.9642857142857143
temporal_precision,NaiveRAG,7,0.42857142857142855,0.14285714285714285,0.8333333333333333
temporal_precision,PV-RAG,7,0.5714285714285714,0.7142857142857143,0.9166666666666667
temporal_precision,PV-RAG-NoGraph,7,0.5714285714285714,0.7142857142857143,0.9166666666666667
temporal_precision,TemporalOnly,7,0.2857142857142857,1.0,0.9285714285714286
version_discrimination,BM25,4,1.0,0.0,0.775
version_discrimination,LLMOnly,4,0.0,0.0,0.875
version_discrimination,NaiveRAG,4,1.0,0.0,0.775
version_discrimination,PV-RAG,4,1.0,0.0,0.7416666666666666
version_discrimination,PV-RAG-NoGraph,4,1.0,0.0,0.7416666666666666
version_discrimination,TemporalOnly,4,0.5,0.5,0.825
