query_id,query,query_type,expected_year,category,difficulty,system,gold_law,gold_section,n_retrieved,retrieval_time,answer,confidence,generation_time,total_time,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10,mrr,ndcg_at_5,temporal_precision_at_1,temporal_precision_at_3,temporal_precision_at_5,version_discrimination,amendment_awareness,temporal_hallucination_rate,cross_era_accuracy,keyword_hit_rate,answer_completeness,confidence_score,latency_seconds
TP-001,What was the penalty for not wearing a helmet while riding a motorcycle in 2010?,HISTORICAL_POINT,2010,temporal_precision,easy,NaiveRAG,"Motor Vehicles Act, 1988",Sec 129,10,0.21437931060791016,"Under the **Motor Vehicles Act, 1988**, specifically **Section 194D**, the penalty for not wearing protective headgear (helmet) while riding a motorcycle in 2010 was a **fine of one thousand rupees** and **disqualification from holding a license for a period of three months**. This provision penalized anyone who drove a motorcycle or allowed it to be driven in contravention of **Section 129**, which mandates the wearing of protective headgear by all persons above four years of age while riding o",0.7416954040527344,2.8373794555664062,3.0517587661743164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.7416954040527344,3.0517587661743164
TP-001,What was the penalty for not wearing a helmet while riding a motorcycle in 2010?,HISTORICAL_POINT,2010,temporal_precision,easy,PV-RAG,"Motor Vehicles Act, 1988",Sec 129,10,0.9298274517059326,"In 2010, the penalty for not wearing a helmet while riding a motorcycle was a fine of one thousand rupees and disqualification from holding a license for three months. This was governed under **The Motor Vehicles Act, 1988**, **Section 194D**, which was in effect during that period (1988–1988) and remained applicable in 2010.

The rule has since changed. The Motor Vehicles Act, 1988, was amended by the Motor Vehicles (Amendment) Act, 2016, and the current provisions are under the updated **Motor",0.7916954040527344,0.556765079498291,1.4865925312042236,1.0,1.0,0.8,1.0,1.0,1.0,0.8687949224876582,0.0,0.0,0.2,0.1,0.5,0.16666666666666666,1.0,1.0,0.8,0.7916954040527344,1.4865925312042236
TP-002,What was the fine for drunk driving in India in 2005?,HISTORICAL_POINT,2005,temporal_precision,easy,NaiveRAG,"Motor Vehicles Act, 1988",Sec 185,10,0.032117366790771484,"In 2005, the fine for drunk driving in India was governed by the **Motor Vehicles Act, 1988**, specifically **Section 186**, which imposed a fine of up to **one thousand rupees** for a first offense. However, this Act was later superseded. 

Additionally, **Section 510 of the Indian Penal Code** (IPC) addressed misconduct in public by a drunken person and provided for a fine of up to **ten rupees** or imprisonment for up to **24 hours**, or both. 

It is important to note that the specific fine ",0.7270839154720307,0.48250842094421387,0.5146257877349854,0.0,0.3333333333333333,0.2,1.0,1.0,0.5,0.38685280723454163,0.0,0.0,0.4,0.125,0.0,0.0,1.0,0.75,0.675,0.7270839154720307,0.5146257877349854
TP-002,What was the fine for drunk driving in India in 2005?,HISTORICAL_POINT,2005,temporal_precision,easy,PV-RAG,"Motor Vehicles Act, 1988",Sec 185,10,0.1449570655822754,"In 2005, the fine for drunk driving in India was not explicitly defined under the Indian Penal Code. However, public intoxication and misconduct were addressed under Section 510 of the Indian Penal Code (1860 to 2023), which allowed for a fine of up to 10 rupees or imprisonment for up to 24 hours. This section applied to individuals who, in a state of intoxication, conducted themselves in a manner that caused public annoyance. 

The specific offense of drunk driving was not covered under this pr",0.86259223818779,0.6117944717407227,0.756751537322998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.75,0.675,0.86259223818779,0.756751537322998
TP-003,What was the punishment for murder under IPC in 2020?,HISTORICAL_POINT,2020,temporal_precision,easy,NaiveRAG,"Indian Penal Code, 1860",Sec 302,10,0.023962974548339844,"The punishment for murder in 2020 under the Indian Penal Code (IPC) is not directly mentioned in the provided rules. However, it is governed by Section 302 of the IPC, which prescribes the punishment for murder as either the death penalty or imprisonment for life, along with a fine. None of the retrieved sections (Sec120B, Sec121A, Sec166B) pertain to the punishment for murder itself.",0.683847999572754,0.37003469467163086,0.3939976692199707,0.0,0.6666666666666666,0.6,1.0,1.0,0.5,0.5147714448836774,0.0,0.6666666666666666,0.6,0.5,0.0,0.0,1.0,1.0,1.0,0.683847999572754,0.3939976692199707
TP-003,What was the punishment for murder under IPC in 2020?,HISTORICAL_POINT,2020,temporal_precision,easy,PV-RAG,"Indian Penal Code, 1860",Sec 302,10,0.14035701751708984,"In 2020, the punishment for murder under the Indian Penal Code (IPC) was governed by Section 302 of the IPC, which was in force from 1860 to 2023 and was not superseded. Section 302 prescribed that whoever commits murder shall be punished with either death or imprisonment for life, and shall also be liable to fine.

As of now, there have been no amendments to Section 302 of the IPC, so the punishment for murder remains unchanged.",0.8283313989639283,0.398923397064209,0.5392804145812988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,1.0,1.0,1.0,0.8283313989639283,0.5392804145812988
TP-004,What was the income tax exemption under section 80C in 2015?,HISTORICAL_POINT,2015,temporal_precision,medium,NaiveRAG,"Income Tax Act, 1961",Sec 80C,10,0.024835586547851562,"The retrieved legal rules do not provide specific information about the income tax exemption under Section 80C in 2015. The rules pertain to sections that were omitted or superseded and do not include the relevant details about the exemption limit or provisions applicable under Section 80C of the Income-Tax Act, 1961, in 2015. Therefore, based on the provided information, it is not possible to determine the income tax exemption under Section 80C in 2015.",0.7910933196544647,0.3477621078491211,0.37259769439697266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6333333333333333,0.7910933196544647,0.37259769439697266
TP-004,What was the income tax exemption under section 80C in 2015?,HISTORICAL_POINT,2015,temporal_precision,medium,PV-RAG,"Income Tax Act, 1961",Sec 80C,10,0.11894083023071289,"In 2015, the income tax exemption under Section 80C of the Income-Tax Act, 1961 allowed individuals to claim a deduction of up to ₹1,50,000 for investments in specified instruments such as life insurance premiums, provident fund contributions, and tax-saving fixed deposits. This provision was effective from the assessment year 2014-15 (financial year 2013-14) and remained unchanged in 2015. 

Act: The Income-Tax Act, 1961  
Section: Section 80C  
Effective Period: 1961 to 2015  

The deduction l",0.7910933196544647,1.112762212753296,1.2317030429840088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.7910933196544647,1.2317030429840088
TP-005,What was the penalty for overspeeding in India in 2000?,HISTORICAL_POINT,2000,temporal_precision,medium,NaiveRAG,"Motor Vehicles Act, 1988",Sec 183,10,0.023680448532104492,"In 2000, the penalty for overspeeding in India was governed by **The Motor Vehicles Act, 1988**, specifically **Section 183**. This section, valid from 1988 to 1988, provided that driving a motor vehicle in contravention of speed limits referred to in Section 112 was punishable with a fine. For a light motor vehicle, the fine was not less than **1,000 rupees** but could extend to **2,000 rupees**. 

Note: The rules from other Acts (The Telecom Regulatory Authority of India Act, 1997 and The Indi",0.7561142981052399,0.46010875701904297,0.48378920555114746,0.0,0.3333333333333333,0.4,1.0,1.0,0.5,0.3973220069685352,0.0,0.3333333333333333,0.4,0.16666666666666666,0.5,0.0,1.0,1.0,1.0,0.7561142981052399,0.48378920555114746
TP-005,What was the penalty for overspeeding in India in 2000?,HISTORICAL_POINT,2000,temporal_precision,medium,PV-RAG,"Motor Vehicles Act, 1988",Sec 183,10,0.13070464134216309,"In 2000, there was no specific penalty for overspeeding under the retrieved legal rules. The rules provided pertain to the Indian Tramways Act, 1886, and the Motor Transport Workers Act, 1961, which do not address overspeeding. 

The Motor Vehicles Act, 1988, which typically governs traffic violations like overspeeding, is not included in the retrieved rules. Therefore, based on the provided information, no applicable penalty for overspeeding in India in 2000 can be determined.

The rules cited ",0.8930285036563873,7.632063865661621,7.762768507003784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.8,0.8930285036563873,7.762768507003784
